 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
11.0,97.0,0.670103085875,0.999999979592,0.836734676801,2.0,0.0,0.0,0.0,4.85567010309,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458250415016,0.0289794309233,0.0286618834452,0.0296958587737,0.454412411842,0.538888888889,0.161111111111,0.0309278350515,0.020618556701,0.6,0.4,0.566666666667,0.4,0.8,-0.125,-0.125,-0.125,0.125,0.0,0.375,0.0,3600
9.0,285.0,0.744186043627,0.999999994536,0.841530050046,4.0,2.0,0.0,21.0,4.34385964912,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,22800.0,11785.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333862300822,0.0334265855475,0.0333515784993,0.866498538197,0.0333370676739,0.509743589744,-0.0530849358974,0.0280701754386,0.0526315789474,0.347826086957,0.652173913043,0.4575,0.16,1.0,-0.337888888889,-0.7,-0.1,1.0,-1.0,0.5,1.0,10000
14.0,194.0,0.764705878264,0.999999991597,0.840336127392,4.0,4.0,0.0,1.0,4.5206185567,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,6300.0,6300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334021167779,0.0344985969026,0.215040799366,0.683720468078,0.0333380188756,0.395588235294,0.347058823529,0.0567010309278,0.0,1.0,0.0,0.545454545455,0.1,1.0,0.0,0.0,0.0,0.4,0.1,0.1,0.1,2100
14.0,1237.0,0.423770491456,0.999999998744,0.570351758077,24.0,24.0,42.0,0.0,4.70331447049,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,2758.70833333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285719536353,0.0287929969744,0.028572003311,0.028571579094,0.885491466985,0.507184717798,0.26162868578,0.0638641875505,0.0113177041229,0.849462365591,0.150537634409,0.403363745959,0.1,1.0,-0.214880952381,-0.5,-0.05,0.0,0.0,0.5,0.0,4200
11.0,1005.0,0.431726907197,0.999999998466,0.556748465404,21.0,21.0,20.0,0.0,4.65572139303,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,3151.15789474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222233013288,0.28294391254,0.0222230780216,0.0222229208774,0.650386787233,0.509792163619,0.273728465412,0.0756218905473,0.0149253731343,0.835164835165,0.164835164835,0.408075301891,0.1,1.0,-0.215,-0.5,-0.05,0.0,0.0,0.5,0.0,217
8.0,218.0,0.662983421751,0.999999992,0.687999994496,14.0,3.0,11.0,0.0,4.43577981651,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,3900.0,3900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199267878972,0.247738781898,0.0200965132477,0.512673525901,0.0202232999808,0.521929824561,0.299122807018,0.0550458715596,0.0183486238532,0.75,0.25,0.536111111111,0.1,1.0,-0.2375,-0.25,-0.2,0.5,0.5,0.0,0.5,690
11.0,281.0,0.610714283533,0.999999994012,0.766467061279,5.0,4.0,1.0,0.0,4.60854092527,4.0,0.0,1.0,0.0,0.0,0.0,0.0,217.0,593.0,461.0,0.0,17100.0,5725.0,0.0,2019.34615385,1114.02403846,951.0,951.0,951.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0500047235712,0.524960378649,0.324006950269,0.0510279152626,0.0500000322485,0.434218460111,0.089925401979,0.0462633451957,0.0213523131673,0.684210526316,0.315789473684,0.322211122211,0.136363636364,0.5,-0.278472222222,-0.5,-0.05,0.0,0.0,0.5,0.0,1300
7.0,1174.0,0.457903779675,0.999999998569,0.653791129251,32.0,0.0,1.0,0.0,4.63798977853,8.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,761.0,517.0,0.0,17100.0,3932.625,0.0,4151.0,858.143055556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.148105206628,0.158203278391,0.0250936016712,0.643597124439,0.025000788871,0.460383895532,0.047830195966,0.0383304940375,0.0281090289608,0.576923076923,0.423076923077,0.376352813853,0.0625,1.0,-0.349831649832,-1.0,-0.075,0.0,0.0,0.5,0.0,341
11.0,308.0,0.633116881061,0.999999994624,0.806451608567,8.0,4.0,1.0,0.0,4.73376623377,4.0,0.0,1.0,0.0,0.0,0.0,0.0,217.0,1900.0,820.75,1900.0,17100.0,6425.0,1291.0,1953.14444444,1644.36111111,873.0,10900.0,4657.66666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0500072795801,0.0522152468666,0.0501534858153,0.79655668493,0.0510673028082,0.539984126984,0.126428571429,0.0454545454545,0.012987012987,0.777777777778,0.222222222222,0.385884353741,0.1,0.7,-0.45625,-0.8,-0.1,0.0,0.0,0.5,0.0,1800
12.0,537.0,0.538175045553,0.999999996815,0.742038214197,2.0,0.0,1.0,0.0,4.98324022346,6.0,0.0,0.0,0.0,0.0,0.0,1.0,217.0,504.0,427.75,0.0,17100.0,3766.66666667,0.0,1953.14444444,855.014550265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0333336957964,0.0333333943406,0.866663274286,0.0333334088838,0.0333362266935,0.465329145492,0.0398303689065,0.0297951582868,0.0186219739292,0.615384615385,0.384615384615,0.334564393939,0.1,0.8,-0.317083333333,-0.5,-0.1,0.7,-0.4,0.2,0.4,412
12.0,292.0,0.626334517344,0.999999994012,0.790419156944,5.0,2.0,0.0,0.0,4.49315068493,10.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,1300.0,493.285714286,0.0,17100.0,7182.3,0.0,2082.425,1072.38919325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0200730727525,0.0201742766727,0.0200859327658,0.0200120327975,0.919654685011,0.479494949495,0.203737373737,0.0376712328767,0.00684931506849,0.846153846154,0.153846153846,0.402066115702,0.136363636364,0.85,-0.483333333333,-0.8,-0.166666666667,0.0,0.0,0.5,0.0,4600
9.0,760.0,0.531628532259,0.999999997691,0.750577365472,9.0,4.0,0.0,16.0,4.38289473684,8.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,1100.0,494.6,0.0,28000.0,10212.5,0.0,5439.16666667,2295.1577588,940.0,3000.0,1970.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0250372704365,0.32590804597,0.0250132853457,0.599038136314,0.0250032619337,0.508810726311,0.0850869666048,0.0631578947368,0.0263157894737,0.705882352941,0.294117647059,0.322634830447,0.05,1.0,-0.399458333333,-0.8,-0.1,0.0,0.0,0.5,0.0,1200
15.0,481.0,0.54105263044,0.999999996429,0.707142854617,5.0,3.0,1.0,0.0,4.59459459459,7.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,690.0,499.857142857,593.0,28000.0,9699.0,593.0,4978.0,2060.62847379,447.0,447.0,447.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.600621244415,0.313357395877,0.0285718815586,0.028848167117,0.0286013110318,0.481073858115,0.0749028182702,0.039501039501,0.027027027027,0.59375,0.40625,0.428070175439,0.1,0.6,-0.343315018315,-0.6,-0.0714285714286,0.4,0.2,0.1,0.2,1200
7.0,175.0,0.685714281796,0.99999999115,0.823008842274,4.0,0.0,1.0,0.0,5.49714285714,7.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,1000.0,465.5,0.0,28000.0,5957.14285714,0.0,2240.53631285,924.261536756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.028669549592,0.0285798571064,0.170331215781,0.23809575875,0.534323618771,0.364454545455,0.177136363636,0.0457142857143,0.00571428571429,0.888888888889,0.111111111111,0.271420454545,0.1,0.7,-0.166666666667,-0.166666666667,-0.166666666667,0.0,0.0,0.5,0.0,377
10.0,289.0,0.586956519612,0.999999994012,0.724550893865,8.0,7.0,1.0,0.0,4.56401384083,7.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,2800.0,898.571428571,2800.0,28000.0,11642.8571429,1877.55,4612.75,2618.97063121,1400.0,6300.0,3233.33333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0288358008774,0.028601835335,0.0287598633137,0.0289173412389,0.884885159235,0.429008838384,0.195577651515,0.0588235294118,0.0138408304498,0.809523809524,0.190476190476,0.344050802139,0.0625,1.0,-0.20625,-0.3,-0.1,0.0,0.0,0.5,0.0,1700
8.0,255.0,0.623015870544,0.999999993333,0.766666661556,6.0,1.0,1.0,0.0,4.41568627451,5.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,575.0,422.75,0.0,28000.0,7260.0,0.0,2240.53631285,1325.21678638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.839899485903,0.0400005908559,0.0400750781538,0.0400002569299,0.0400245881578,0.497399891775,0.0101217532468,0.0352941176471,0.0235294117647,0.6,0.4,0.162836700337,0.05,0.5,-0.210515873016,-0.5,-0.025,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,441
10.0,1028.0,0.408102766395,0.999999998464,0.526881719621,29.0,27.0,20.0,0.0,4.58852140078,9.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,1200.0,526.625,0.0,28000.0,9911.11111111,0.0,2796.14285714,1811.42533197,545.0,16000.0,3793.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022281766505,0.022378262206,0.0222269726591,0.0222433083562,0.910869690274,0.540599876314,0.283785405071,0.0787937743191,0.0126459143969,0.86170212766,0.13829787234,0.414022232911,0.1,1.0,-0.213461538462,-0.5,-0.05,0.7,0.4,0.2,0.4,2400
8.0,279.0,0.609318994232,0.999999993976,0.771084332704,13.0,3.0,1.0,0.0,5.08602150538,6.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,343.0,301.0,0.0,28000.0,6150.0,0.0,2240.53631285,867.335218808,586.0,586.0,586.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.865471075143,0.0333420425964,0.033389907045,0.0334461800477,0.0343507951679,0.400963636364,0.142975757576,0.0465949820789,0.0143369175627,0.764705882353,0.235294117647,0.32303030303,0.136363636364,0.6,-0.15625,-0.4,-0.05,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,2400
9.0,537.0,0.503952568174,0.99999999729,0.60162601463,3.0,2.0,13.0,0.0,4.88454376164,9.0,0.0,0.0,0.0,0.0,0.0,1.0,217.0,417.0,345.4,0.0,28000.0,6722.22222222,0.0,2492.0,1115.14338052,3600.0,3600.0,3600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0222238898183,0.0222248547448,0.657464412253,0.155629210424,0.142457632759,0.542916666667,0.0501822916667,0.0260707635009,0.0204841713222,0.56,0.44,0.457857142857,0.16,1.0,-0.436742424242,-1.0,-0.125,1.0,-0.125,0.5,0.125,2500
8.0,148.0,0.721088430469,0.999999989691,0.865979372516,6.0,2.0,0.0,1.0,4.72972972973,10.0,0.0,1.0,0.0,0.0,0.0,0.0,217.0,1000.0,589.111111111,0.0,28000.0,16580.0,0.0,5457.14285714,3249.773515,1500.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.191457927608,0.747757279008,0.0201223227343,0.0206556085677,0.0200068620824,0.494343434343,0.193636363636,0.0405405405405,0.0135135135135,0.75,0.25,0.394949494949,0.0333333333333,1.0,-0.116666666667,-0.2,-0.0333333333333,0.75,0.8,0.25,0.8,1000
7.0,719.0,0.492329148546,0.999999997579,0.685230022554,13.0,5.0,1.0,0.0,4.65090403338,10.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,972.0,432.5,0.0,28000.0,8890.0,0.0,3818.0,1463.29288974,1300.0,3600.0,2233.33333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0202661505968,0.0200316249828,0.0200027254214,0.0200378374917,0.919661661507,0.451534202232,0.107703362529,0.0278164116829,0.0152990264256,0.645161290323,0.354838709677,0.364437229437,0.1,1.0,-0.214772727273,-0.5,-0.05,0.0,0.0,0.5,0.0,1500
11.0,1364.0,0.388026607252,0.999999998815,0.53436018894,23.0,23.0,28.0,0.0,4.6151026393,10.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,788.0,356.444444444,0.0,28000.0,13008.8,0.0,2695.91666667,1551.42115748,545.0,16000.0,2764.17391304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0200360529986,0.254930776936,0.0200017601822,0.0200861469347,0.684945262949,0.538369627006,0.245481547072,0.0689149560117,0.0146627565982,0.824561403509,0.175438596491,0.395277701022,0.1,1.0,-0.19746031746,-0.5,-0.05,0.821428571429,0.357142857143,0.321428571429,0.357142857143,3000
12.0,470.0,0.487124462474,0.999999996124,0.689922477946,3.0,3.0,7.0,0.0,4.38936170213,10.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,742.0,357.5,0.0,28000.0,11460.0,0.0,2695.91666667,1466.52615748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0200319306956,0.120294833174,0.0200020799701,0.0201231847397,0.819547971421,0.381781045752,0.104509803922,0.036170212766,0.0191489361702,0.653846153846,0.346153846154,0.359901960784,0.1,0.7,-0.123148148148,-0.2,-0.05,0.0,0.0,0.5,0.0,2300
9.0,1438.0,0.466053747902,0.999999998906,0.641137854878,56.0,47.0,1.0,0.0,4.82962447844,9.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,690.0,381.0,0.0,37400.0,10877.7777778,0.0,3482.25,1684.77867364,648.0,28400.0,4718.02325581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.347205391341,0.0222751743326,0.216269652833,0.144779918692,0.269469862801,0.441249017089,0.162586398196,0.0528511821975,0.0132127955494,0.8,0.2,0.331432273866,0.0333333333333,1.0,-0.287249373434,-1.0,-0.0333333333333,0.0,0.0,0.5,0.0,1900
10.0,1159.0,0.399126637206,0.999999998586,0.550212163295,21.0,20.0,19.0,0.0,4.56427955134,10.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,705.0,350.714285714,0.0,37400.0,13370.0,0.0,2709.25,1402.78238839,545.0,16000.0,3151.15789474,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0200414500412,0.0202862747617,0.0200073620169,0.0203412899515,0.919323623229,0.506038762461,0.283834346082,0.0724762726488,0.0112165660052,0.865979381443,0.134020618557,0.410908060194,0.1,1.0,-0.213461538462,-0.5,-0.05,0.642857142857,0.214285714286,0.142857142857,0.214285714286,15700
